Distancia_km	Tiempo_Procesamiento_hrs	Numero_Paradas	Capacidad_Utilizada	Prioridad	Entrega_A_Tiempo
624.3561663863075	9.701247655415123	3	0.8295568822347632	2	0
1431.0000289738825	26.469344526782834	2	0.5544466569905195	1	0
1124.791518535967	42.02845428619119	3	0.8182693233766771	1	0
938.1218778758513	35.414569661249374	1	0.7491180002496365	3	0
318.4260966194111	38.90837394948814	1	0.7033370349992916	1	0
318.3923284706837	31.962818235403716	0	0.9765100105894495	3	0
181.31705703547925	33.53699853233907	4	0.7612698583660267	1	0
1312.6466040849093	40.91219562357001	3	0.6095587397349692	2	0
941.5610164404924	12.73439641638174	0	0.7294817396886493	1	0
1091.3016089144637	24.0029732912276	4	0.9596937022863363	1	0
128.81829201412341	11.396843765521304	3	0.5880477356652973	1	0
1457.873793026792	47.42039637584241	2	0.6069785193441184	3	0
1265.4196971205904	45.370788965270826	3	0.5065147838785419	2	0
397.2747549495866	2.8530601343197772	1	0.5070950246978836	1	0
354.5549540899409	34.16203310823736	1	0.9146958134792562	3	0
356.76631379480733	44.48667091853629	2	0.8660613034214779	2	0
525.9391401433528	9.487041220984676	0	0.6775205282259791	3	1
834.6590042851329	27.693425835973585	4	0.8491555786137863	3	0
704.7230260989621	44.027949986637964	3	0.6976029631549852	2	0
507.72079627725867	2.5954609935325457	1	0.9764483979989138	1	0
956.5940526113312	33.778752560601475	0	0.9835263407130175	3	0
295.2914049128586	14.975403346509886	2	0.6963968879046717	3	0
509.0025079493054	44.44662118269693	1	0.927110953170434	1	0
612.9065806111684	46.639737522772286	2	0.886544520848733	1	0
738.4979779038503	45.380524988331395	3	0.6549999685858947	2	0
1199.246345950219	23.288068182900798	4	0.6160199144505529	2	0
379.5432950217036	41.51600459649773	1	0.7291173251964169	2	0
819.9282137790563	40.69382173114831	1	0.8906744203072031	1	0
929.3803964068594	15.997722242433015	3	0.9800838923643727	3	0
165.03057780799682	39.95902728508184	0	0.8817895344332862	3	0
950.5627926620137	2.739358831628153	4	0.927603492509185	2	0
338.73377316220814	29.02468428865649	1	0.8015321530852583	1	0
